Time [s],Channel 0
6.337556485,1
6.338791625,0
6.356897375,1
6.356940708,0
6.356989625,1
6.357076125,0
6.357129708,1
6.357153667,0
6.357207250,1
6.357231083,0
6.357284667,1
6.357355125,0
6.357408708,1
6.357432667,0
6.357486208,1
6.357510167,0
6.357563750,1
6.357587708,0
6.357641292,1
6.357665125,0
6.357718667,1
6.357790167,0
6.357843750,1
6.357867708,0
6.357921250,1
6.357945208,0
6.357998792,1
6.358022750,0
6.358076333,1
6.358100292,0
6.358153917,1
6.358177875,0
6.358231417,1
6.358255375,0
6.358308958,1
6.358332917,0
6.358386500,1
6.358411458,0
6.358465042,1
6.358489000,0
6.358542583,1
6.358566542,0
6.358620083,1
6.358643917,0
6.358697500,1
6.358768000,0
6.358821542,1
6.358845375,0
6.358898958,1
6.358969333,0
6.359022875,1
6.359093250,0
6.359146833,1
6.359218292,0
6.359271833,1
6.359295792,0
6.359349375,1
6.359373333,0
6.359426917,1
6.359450875,0
6.359504417,1
6.359528375,0
6.359581958,1
6.359605792,0
6.359659333,1
6.359729833,0
6.359783417,1
6.359807375,0
6.359860958,1
6.359885917,0
6.359939500,1
6.359963458,0
6.360017000,1
6.360040833,0
6.360094417,1
6.360164792,0
6.360218375,1
6.360288708,0
6.360342292,1
6.360412667,0
6.360466250,1
6.360536708,0
6.360590292,1
6.360614250,0
6.360667833,1
6.360691167,0
6.360744917,1
6.364099250,1
