Time [s],Channel 0,Channel 1
3.125256252,1,1
3.374370958,0,1
3.374376042,0,0
3.374380958,1,0
3.374385417,1,1
3.374390333,1,0
3.374395458,1,1
3.374400375,1,0
3.374405500,1,1
3.374410458,1,0
3.374410792,0,0
3.374415542,0,1
3.374420500,0,0
3.374421000,1,0
3.374425583,1,1
3.374430542,1,0
3.374435625,1,1
3.374440583,1,0
3.374440958,0,0
3.374445708,0,1
3.374450625,0,0
3.374455750,0,1
3.374460667,0,0
3.374465792,0,1
3.374470708,0,0
3.374471042,1,0
3.374481042,1,1
3.374486000,1,0
3.374491083,1,1
3.374496042,1,0
3.374501125,1,1
3.374506083,1,0
3.374511167,1,1
3.374516125,1,0
3.374521208,1,1
3.374526167,1,0
3.374526542,0,0
3.374531292,0,1
3.374536208,0,0
3.374536750,1,0
3.374541333,1,1
3.374546250,1,0
3.374546625,0,0
3.374551375,0,1
3.374556292,0,0
3.374561417,0,1
3.374566375,0,0
3.374566667,1,0
3.374571125,0,0
3.374575792,0,1
3.374581542,1,1
3.374601583,0,1
3.374606667,0,0
3.374611625,1,0
3.374616083,1,1
3.374621042,1,0
3.374626167,1,1
3.374631083,1,0
3.374636208,1,1
3.374641125,1,0
3.374641500,0,0
3.374646250,0,1
3.374651208,0,0
3.374651708,1,0
3.374656292,1,1
3.374661250,1,0
3.374666333,1,1
3.374671292,1,0
3.374671667,0,0
3.374676375,0,1
3.374681333,0,0
3.374681833,1,0
3.374686417,1,1
3.374691375,1,0
3.374691542,0,0
3.374696500,0,1
3.374701417,0,0
3.374701750,1,0
3.374710625,1,1
3.374715542,1,0
3.374715708,0,0
3.374720667,0,1
3.374725583,0,0
3.374730708,0,1
3.374735667,0,0
3.374740750,0,1
3.374745708,0,0
3.374750792,0,1
3.374755750,0,0
3.374760833,0,1
3.374765792,0,0
3.374770917,0,1
3.374775833,0,0
3.374780958,0,1
3.374785875,0,0
3.374786208,1,0
3.374786250,0,0
3.374791000,0,1
3.374795917,0,0
3.374796417,1,0
3.374806250,1,1
3.374811167,1,0
3.374811333,0,0
3.374816292,0,1
3.374821250,0,0
3.374821542,1,0
3.374826333,1,1
3.374831292,1,0
3.374831417,0,0
3.374836375,0,1
3.374841333,0,0
3.374846417,0,1
3.374851375,0,0
3.374851708,1,0
3.374856500,1,1
3.374861417,1,0
3.374861583,0,0
3.374866542,0,1
3.374871458,0,0
3.374871792,1,0
3.374876583,1,1
3.374881500,1,0
3.374881875,0,0
3.374886625,0,1
3.374891583,0,0
3.374901958,0,1
3.374906875,0,0
3.374912000,0,1
3.374916917,0,0
3.374922042,0,1
3.374926958,0,0
3.374932083,0,1
3.374937042,0,0
3.374942125,0,1
3.374947083,0,0
3.374952167,0,1
3.374957125,0,0
3.374962208,0,1
3.374967167,0,0
3.374972250,0,1
3.374977208,0,0
3.374977542,1,0
3.374982333,1,1
3.374987250,1,0
3.374993208,0,0
3.374997875,0,1
3.375003667,1,1
3.375591333,0,1
3.375596417,0,0
3.375601375,1,0
3.375605833,1,1
3.375610792,1,0
3.375615917,1,1
3.375620833,1,0
3.375625958,1,1
3.375630875,1,0
3.375631250,0,0
3.375636000,0,1
3.375640917,0,0
3.375641458,1,0
3.375646042,1,1
3.375651000,1,0
3.375656083,1,1
3.375661042,1,0
3.375661417,0,0
3.375666125,0,1
3.375671083,0,0
3.375676167,0,1
